id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,mechanics,dust,play_requirements,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,entourage
KARA_13_23,NEUTRAL,MINION,Romulo,TB,"At the end of your turn, restore 5 health to your hero.",5,3,4,,,,,,,,,,,,,
LOE_115b,DRUID,SPELL,Raven Idol,LOE,Discover a spell.,0,,,COMMON,,,,,,,,,,,,
BRM_033,NEUTRAL,MINION,Blackwing Technician,BRM,"Battlecry: If you're holding a Dragon, gain +1/+1. ",3,2,4,COMMON,True,This is who you go to when your Blackwing needs a tune up. Don't go to a cut rate Blackwing tune up shop!,['BATTLECRY'],,,,"Unlocked in Molten Core, in the Blackrock Mountain adventure.","Crafting unlocked in Molten Core, in the Blackrock Mountain adventure.",,,,
OG_281,NEUTRAL,MINION,Beckoner of Evil,OG,Battlecry: Give your C'Thun +2/+2 <i>(wherever it is).</i>,2,2,3,COMMON,True,"Here, Evil!  C'mon boy!","['BATTLECRY', 'RITUAL']","[40, 400, 5, 50]",,,Unlocked when opening a Whispers of the Old Gods pack.,Crafting unlocked after opening a Whispers of the Old Gods pack.,,,,
OG_048,DRUID,SPELL,Mark of Y'Shaarj,OG,"Give a minion +2/+2.
If it's a Beast, draw
a card.",2,,,COMMON,True,"Y'Shaarj had three sons: Mark, Theodore, and Chris.",,"[40, 400, 5, 50]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
OG_314b,WARRIOR,MINION,Slime,OG,,2,2,2,,,,,,,,,,,,,
BRMA10_1,NEUTRAL,HERO,Razorgore the Untamed,BRM,,,,30,,,,,,,,,,,,,
LOEA05_02h,NEUTRAL,HERO_POWER,Trogg Hate Minions!,LOE,"Passive Hero Power
 Enemy minions cost (11). Swap at the start of your turn.",0,,,,,,,,,,,,,,,
CRED_32,NEUTRAL,MINION,Jerry Mascho,CREDITS,"At the start of your turn, deal 1 damage. If this card is golden, deal 1 damage at the end of your turn instead. THIS IS A HAN SOLO JOKE.",2,3,2,LEGENDARY,,,,,,,,,,,,
LOEA01_01h,NEUTRAL,HERO,Sun Raider Phaerix,LOE,,,,30,,,,,,,,,,,,,
TB_BlingBrawl_Hero1p,ROGUE,HERO_POWER,Sharpen,TB,"Hero Power
Increase your weapon's attack by 1",2,,,FREE,,,,,,,,,,,,
TU4c_001,NEUTRAL,HERO,King Mukla,MISSIONS,,,,26,COMMON,,,,,,,,,,,,
